stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
0.0,1.0,1.0,0.0,1417173120.0,7668.0,
5.56,1.0,1.0,0.0,1417173120.0,7668.0,
10.19,1.0,1.0,0.0,1417173120.0,7668.0,
10.19,1.0,1.0,0.0,1417173120.0,7668.0,
10.19,1.0,1.0,0.0,1417173120.0,7668.0,
10.19,1.0,1.0,0.0,1417173120.0,7668.0,
10.19,1.0,1.0,0.0,1417173120.0,7668.0,
10.19,5.0,1.0,0.0,1417173120.0,7668.0,
10.19,5.0,1.0,0.0,1417173120.0,7668.0,100.333420095826
10.19,2.0,1.0,0.0,1417173120.0,7668.0,
10.19,3.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,
10.19,7.0,1.0,0.0,1417173120.0,7668.0,98.385188119319
10.19,5.0,1.0,0.0,1417173120.0,7668.0,
10.19,9.0,1.0,0.0,1417173120.0,7668.0,
10.19,28.0,1.0,0.0,1417173120.0,7668.0,
26.85,29.0,1.0,0.0,1417173120.0,7668.0,
26.85,31.0,1.0,0.0,1417173120.0,7668.0,
26.85,34.0,1.0,0.0,1417173120.0,7668.0,
26.85,39.0,1.0,0.0,1417173120.0,7668.0,
26.85,44.0,1.0,0.0,1417173120.0,7668.0,
26.85,50.0,1.0,0.0,1417173120.0,7668.0,
26.85,60.0,1.0,0.0,1417173120.0,7668.0,
26.85,73.0,1.0,0.0,1417173120.0,7668.0,
41.67,81.0,1.0,0.0,1417173120.0,7668.0,
41.67,84.0,2.0,0.0,1417173120.0,7668.0,
44.44,107.0,2.0,0.0,1417173120.0,7668.0,
44.44,114.0,2.0,0.0,1417173120.0,7668.0,
44.44,137.0,3.0,0.0,1417173120.0,7668.0,
44.44,151.0,3.0,0.0,1417173120.0,7668.0,
44.44,173.0,4.0,0.0,1417173120.0,7668.0,
44.44,223.0,4.0,0.0,1417173120.0,7668.0,
44.44,283.0,4.0,0.0,1417173120.0,7668.0,
100.0,360.0,7.0,0.0,1417173120.0,7668.0,
86.57,434.0,9.0,0.0,1417173120.0,7668.0,
86.57,519.0,9.0,0.0,1417173120.0,7668.0,
100.0,606.0,10.0,0.0,1417173120.0,7668.0,
100.0,649.0,13.0,0.0,1417173120.0,7668.0,
100.0,724.0,17.0,0.0,1417173120.0,7668.0,
100.0,909.0,19.0,0.0,1417173120.0,7668.0,
100.0,979.0,25.0,0.0,1417173120.0,7668.0,
100.0,1071.0,29.0,0.0,1417173120.0,7668.0,
100.0,1251.0,32.0,0.0,1417173120.0,7668.0,
100.0,1637.0,38.0,0.0,1417173120.0,7668.0,88.5352131858583
100.0,1965.0,50.0,0.0,1417173120.0,7668.0,
100.0,2301.0,56.0,0.0,1417173120.0,7668.0,
100.0,2902.0,68.0,0.0,1417173120.0,7668.0,
100.0,3374.0,77.0,0.0,1417173120.0,7668.0,
100.0,4067.0,109.0,0.0,1417173120.0,7668.0,
100.0,4421.0,114.0,0.0,1417173120.0,7668.0,
100.0,5274.0,149.0,0.0,1417173120.0,7668.0,
100.0,5865.0,169.0,0.0,1417173120.0,7668.0,
100.0,6412.0,199.0,0.0,1417173120.0,7668.0,
100.0,7447.0,239.0,0.0,1417173120.0,7668.0,
100.0,8356.0,273.0,0.0,1417173120.0,7668.0,
100.0,9152.0,308.0,0.0,1417173120.0,7668.0,
100.0,10363.0,339.0,0.0,1417173120.0,7668.0,
100.0,11439.0,377.0,0.0,1417173120.0,7668.0,
100.0,12380.0,414.0,0.0,1417173120.0,7668.0,
100.0,13387.0,437.0,0.0,1417173120.0,7668.0,
100.0,14378.0,480.0,0.0,1417173120.0,7668.0,
100.0,15712.0,507.0,0.0,1417173120.0,7668.0,
96.3,17265.0,543.0,0.0,1417173120.0,7668.0,
96.3,18601.0,590.0,0.0,1417173120.0,7668.0,
96.3,19984.0,640.0,0.0,1417173120.0,7668.0,
96.3,21393.0,681.0,0.0,1417173120.0,7668.0,
96.3,23077.0,718.0,0.0,1417173120.0,7668.0,
96.3,24506.0,775.0,0.0,1417173120.0,7668.0,
96.3,26496.0,824.0,0.0,1417173120.0,7668.0,
96.3,27892.0,872.0,0.0,1417173120.0,7668.0,
96.3,29435.0,934.0,0.0,1417173120.0,7668.0,
96.3,31332.0,1007.0,0.0,1417173120.0,7668.0,
96.3,33050.0,1074.0,0.0,1417173120.0,7668.0,
96.3,35043.0,1147.0,0.0,1417173120.0,7668.0,83.7288107955639
96.3,37336.0,1218.0,0.0,1417173120.0,7668.0,
96.3,39980.0,1301.0,0.0,1417173120.0,7668.0,
81.94,42533.0,1373.0,0.0,1417173120.0,7668.0,
81.94,46433.0,1568.0,0.0,1417173120.0,7668.0,
81.94,49391.0,1694.0,0.0,1417173120.0,7668.0,
81.94,52952.0,1783.0,0.0,1417173120.0,7668.0,
81.94,56342.0,1886.0,0.0,1417173120.0,7668.0,
81.94,59662.0,1981.0,0.0,1417173120.0,7668.0,
81.94,62939.0,2109.0,0.0,1417173120.0,7668.0,
81.94,67152.0,2206.0,0.0,1417173120.0,7668.0,
81.94,70756.0,2293.0,0.0,1417173120.0,7668.0,
81.94,74281.0,2415.0,0.0,1417173120.0,7668.0,
81.94,78003.0,2549.0,0.0,1417173120.0,7668.0,
81.94,81970.0,2649.0,0.0,1417173120.0,7668.0,
81.94,85940.0,2752.0,0.0,1417173120.0,7668.0,
81.94,90927.0,2872.0,0.0,1417173120.0,7668.0,
81.94,96169.0,3029.0,0.0,1417173120.0,7668.0,
81.94,101139.0,3163.0,0.0,1417173120.0,7668.0,
81.94,106750.0,3303.0,0.0,1417173120.0,7668.0,
81.94,112359.0,3435.0,0.0,1417173120.0,7668.0,
81.94,118447.0,3583.0,0.0,1417173120.0,7668.0,
81.94,125101.0,3720.0,0.0,1417173120.0,7668.0,
81.94,131868.0,3867.0,0.0,1417173120.0,7668.0,
81.94,138845.0,4021.0,0.0,1417173120.0,7668.0,
81.94,145380.0,4167.0,0.0,1417173120.0,7668.0,
81.94,151767.0,4337.0,0.0,1417173120.0,7668.0,
81.94,158333.0,4531.0,0.0,1417173120.0,7668.0,
81.94,165799.0,4706.0,0.0,1417173120.0,7668.0,
81.94,173763.0,4971.0,0.0,1417173120.0,7668.0,
81.94,182143.0,5164.0,0.0,1417173120.0,7668.0,
87.5,190535.0,5394.0,0.0,1417173120.0,7668.0,87.9928505089631
87.5,198706.0,5598.0,0.0,1417173120.0,7668.0,
87.5,207615.0,5815.0,0.0,1417173120.0,7668.0,
87.5,216919.0,6075.0,0.0,1417173120.0,7668.0,
87.5,226770.0,6348.0,0.0,1417173120.0,7668.0,
87.5,236657.0,6642.0,0.0,1417173120.0,7668.0,
87.5,246628.0,6929.0,0.0,1417173120.0,7668.0,
87.5,256611.0,7200.0,0.0,1417173120.0,7668.0,
87.5,266598.0,7471.0,0.0,1417173120.0,7668.0,
87.5,276583.0,7745.0,0.0,1417173120.0,7668.0,
87.5,286579.0,8102.0,0.0,1417173120.0,7668.0,
87.5,297535.0,8498.0,0.0,1417173120.0,7668.0,
87.5,308993.0,8884.0,0.0,1417173120.0,7668.0,
87.5,320922.0,9195.0,0.0,1417173120.0,7668.0,
87.5,332424.0,9520.0,0.0,1417173120.0,7668.0,
87.5,343091.0,9900.0,0.0,1417173120.0,7668.0,
87.5,354065.0,11903.0,0.0,1417173120.0,7668.0,
87.5,366946.0,12237.0,0.0,1417173120.0,7668.0,
87.5,380532.0,12573.0,0.0,1417173120.0,7668.0,
87.5,395048.0,12948.0,0.0,1417173120.0,7668.0,
87.5,410461.0,13254.0,0.0,1417173120.0,7668.0,
87.5,425282.0,13699.0,0.0,1417173120.0,7668.0,
87.5,440215.0,14011.0,0.0,1417173120.0,7668.0,
87.5,456183.0,14476.0,0.0,1417173120.0,7668.0,
87.5,473105.0,14894.0,0.0,1417173120.0,7668.0,
87.5,490401.0,15301.0,0.0,1417173120.0,7668.0,
87.5,508953.0,15685.0,0.0,1417173120.0,7668.0,
87.5,528859.0,16095.0,0.0,1417173120.0,7668.0,
87.5,548318.0,16475.0,0.0,1417173120.0,7668.0,
87.5,566840.0,16893.0,0.0,1417173120.0,7668.0,
87.5,585493.0,17400.0,0.0,1417173120.0,7668.0,92.2626508070003
87.5,604641.0,17834.0,0.0,1417173120.0,7668.0,
87.5,625544.0,18213.0,0.0,1417173120.0,7668.0,
87.5,648315.0,18655.0,0.0,1417173120.0,7668.0,
87.5,673165.0,19268.0,0.0,1417173120.0,7668.0,
87.5,697413.0,19693.0,0.0,1417173120.0,7668.0,
87.5,719665.0,20160.0,0.0,1417173120.0,7668.0,
87.5,742417.0,20642.0,0.0,1417173120.0,7668.0,
87.5,767296.0,21129.0,0.0,1417173120.0,7668.0,
87.5,793802.0,21604.0,0.0,1417173120.0,7668.0,
87.5,820916.0,22123.0,0.0,1417173120.0,7668.0,
87.5,849553.0,22674.0,0.0,1417173120.0,7668.0,
87.5,878254.0,23174.0,0.0,1417173120.0,7668.0,
87.5,906752.0,23727.0,0.0,1417173120.0,7668.0,
87.5,936181.0,24309.0,0.0,1417173120.0,7668.0,
87.5,968876.0,24915.0,0.0,1417173120.0,7668.0,
87.5,1003832.0,25602.0,0.0,1417173120.0,7668.0,
87.5,1038716.0,26273.0,0.0,1417173120.0,7668.0,
87.5,1077618.0,26816.0,0.0,1417173120.0,7668.0,
87.5,1118043.0,27497.0,0.0,1417173120.0,7668.0,
87.5,1155191.0,28084.0,0.0,1417173120.0,7668.0,
87.5,1192915.0,28732.0,0.0,1417173120.0,7668.0,
87.5,1238635.0,29861.0,0.0,1417173120.0,7668.0,
87.5,1287945.0,30601.0,0.0,1417173120.0,7668.0,
87.5,1336861.0,31358.0,0.0,1417173120.0,7668.0,
87.5,1385522.0,32063.0,0.0,1417173120.0,7668.0,
87.5,1435453.0,32771.0,0.0,1417173120.0,7668.0,
87.5,1483156.0,33425.0,0.0,1417173120.0,7668.0,
87.5,1531669.0,34193.0,0.0,1417173120.0,7668.0,
87.5,1583792.0,34968.0,0.0,1417173120.0,7668.0,
87.5,1638870.0,35747.0,0.0,1417173120.0,7668.0,
85.65,1695988.0,36511.0,0.0,1417173120.0,7668.0,96.4619898406192
85.65,1750723.0,37364.0,0.0,1417173120.0,7668.0,
85.65,1803695.0,38135.0,0.0,1417173120.0,7668.0,
85.65,1855745.0,38938.0,0.0,1417173120.0,7668.0,
85.65,1908254.0,39795.0,0.0,1417173120.0,7668.0,
85.65,1964536.0,40699.0,0.0,1417173120.0,7668.0,
85.65,2027074.0,41585.0,0.0,1417173120.0,7668.0,
85.65,2088611.0,42518.0,0.0,1417173120.0,7668.0,
85.65,2153010.0,43379.0,0.0,1417173120.0,7668.0,
85.65,2215074.0,44386.0,0.0,1417173120.0,7668.0,
85.65,2268675.0,45257.0,0.0,1417173120.0,7668.0,
85.65,2329638.0,46091.0,0.0,1417173120.0,7668.0,
85.65,2396637.0,47033.0,0.0,1417173120.0,7668.0,
85.65,2461190.0,48040.0,0.0,1417173120.0,7668.0,
85.65,2526192.0,49036.0,0.0,1417173120.0,7668.0,
85.65,2589682.0,49980.0,0.0,1417173120.0,7668.0,
85.65,2647663.0,50921.0,0.0,1417173120.0,7668.0,
85.65,2702742.0,51797.0,0.0,1417173120.0,7668.0,
85.65,2767273.0,52889.0,0.0,1417173120.0,7668.0,
85.65,2836925.0,53866.0,0.0,1417173120.0,7668.0,
85.65,2905823.0,54849.0,0.0,1417173120.0,7668.0,
85.65,2975701.0,55794.0,0.0,1417173120.0,7668.0,
85.65,3044940.0,56706.0,0.0,1417173120.0,7668.0,
85.65,3106348.0,57542.0,0.0,1417173120.0,7668.0,
85.65,3167323.0,58390.0,0.0,1417173120.0,7668.0,
85.65,3234474.0,59449.0,0.0,1417173120.0,7668.0,
85.65,3310234.0,60472.0,0.0,1417173120.0,7668.0,
85.65,3387500.0,61529.0,0.0,1417173120.0,7668.0,
85.65,3463972.0,62550.0,0.0,1417173120.0,7668.0,
85.65,3542733.0,63498.0,0.0,1417173120.0,7668.0,
85.65,3621245.0,64469.0,0.0,1417173120.0,7668.0,
81.94,3691166.0,65288.0,0.0,1417173120.0,7668.0,97.7511764657687
81.94,3769523.0,66333.0,0.0,1417173120.0,7668.0,
81.94,3853406.0,67376.0,0.0,1417173120.0,7668.0,
81.94,3936747.0,68472.0,0.0,1417173120.0,7668.0,
81.94,4023179.0,69561.0,0.0,1417173120.0,7668.0,
81.94,4113811.0,70626.0,0.0,1417173120.0,7668.0,
76.39,4204613.0,71642.0,0.0,1417173120.0,7668.0,
76.39,4280422.0,72775.0,0.0,1417173120.0,7668.0,
76.39,4370128.0,73890.0,0.0,1417173120.0,7668.0,
76.39,4465863.0,75062.0,0.0,1417173120.0,7668.0,
76.39,4562414.0,76271.0,0.0,1417173120.0,7668.0,
